id_date,date,jour,mois,annee
644,2022-04-09,9,4,2022
645,2022-04-10,10,4,2022
646,2022-04-11,11,4,2022
647,2022-04-12,12,4,2022
648,2022-04-13,13,4,2022
649,2022-04-14,14,4,2022
650,2022-04-15,15,4,2022
651,2022-04-16,16,4,2022
652,2022-04-17,17,4,2022
653,2022-04-18,18,4,2022
654,2022-04-19,19,4,2022
655,2022-04-20,20,4,2022
656,2022-04-21,21,4,2022
657,2022-04-22,22,4,2022
658,2022-04-23,23,4,2022
659,2022-04-24,24,4,2022
660,2022-04-25,25,4,2022
661,2022-04-26,26,4,2022
662,2022-04-27,27,4,2022
663,2022-04-28,28,4,2022
664,2022-04-29,29,4,2022
665,2022-04-30,30,4,2022
666,2022-05-01,1,5,2022
667,2022-05-02,2,5,2022
668,2022-05-03,3,5,2022
669,2022-05-04,4,5,2022
670,2022-05-05,5,5,2022
671,2022-05-06,6,5,2022
672,2022-05-07,7,5,2022
673,2022-05-08,8,5,2022
674,2022-05-09,9,5,2022
675,2022-05-10,10,5,2022
676,2022-05-11,11,5,2022
677,2022-05-12,12,5,2022
678,2022-05-13,13,5,2022
679,2022-05-14,14,5,2022
680,2022-05-15,15,5,2022
681,2022-05-16,16,5,2022
682,2022-05-17,17,5,2022
683,2022-05-18,18,5,2022
684,2022-05-19,19,5,2022
685,2022-05-20,20,5,2022
686,2022-05-21,21,5,2022
687,2022-05-22,22,5,2022
688,2022-05-23,23,5,2022
689,2022-05-24,24,5,2022
690,2022-05-25,25,5,2022
691,2022-05-26,26,5,2022
692,2022-05-27,27,5,2022
693,2022-05-28,28,5,2022
694,2022-05-29,29,5,2022
695,2022-05-30,30,5,2022
696,2022-05-31,31,5,2022
697,2022-06-01,1,6,2022
698,2022-06-02,2,6,2022
699,2022-06-03,3,6,2022
700,2022-06-04,4,6,2022
701,2022-06-05,5,6,2022
702,2022-06-06,6,6,2022
703,2022-06-07,7,6,2022
704,2022-06-08,8,6,2022
705,2022-06-09,9,6,2022
706,2022-06-10,10,6,2022
707,2022-06-11,11,6,2022
708,2022-06-12,12,6,2022
709,2022-06-13,13,6,2022
710,2022-06-14,14,6,2022
711,2022-06-15,15,6,2022
712,2022-06-16,16,6,2022
713,2022-06-17,17,6,2022
714,2022-06-18,18,6,2022
715,2022-06-19,19,6,2022
716,2022-06-20,20,6,2022
717,2022-06-21,21,6,2022
718,2022-06-22,22,6,2022
719,2022-06-23,23,6,2022
720,2022-06-24,24,6,2022
721,2022-06-25,25,6,2022
722,2022-06-26,26,6,2022
723,2022-06-27,27,6,2022
724,2022-06-28,28,6,2022
725,2022-06-29,29,6,2022
726,2022-06-30,30,6,2022
727,2022-07-01,1,7,2022
728,2022-07-02,2,7,2022
729,2022-07-03,3,7,2022
730,2022-07-04,4,7,2022
731,2022-07-05,5,7,2022
732,2022-07-06,6,7,2022
733,2022-07-07,7,7,2022
734,2022-07-08,8,7,2022
735,2022-07-09,9,7,2022
736,2022-07-10,10,7,2022
737,2022-07-11,11,7,2022
738,2022-07-12,12,7,2022
739,2022-07-13,13,7,2022
740,2022-07-14,14,7,2022
741,2022-07-15,15,7,2022
742,2022-07-16,16,7,2022
743,2022-07-17,17,7,2022
744,2022-07-18,18,7,2022
745,2022-07-19,19,7,2022
746,2022-07-20,20,7,2022
747,2022-07-21,21,7,2022
748,2022-07-22,22,7,2022
749,2022-07-23,23,7,2022
750,2022-07-24,24,7,2022
751,2022-07-25,25,7,2022
752,2022-07-26,26,7,2022
753,2022-07-27,27,7,2022
754,2022-07-28,28,7,2022
755,2022-07-29,29,7,2022
756,2022-07-30,30,7,2022
757,2022-07-31,31,7,2022
758,2022-08-01,1,8,2022
759,2022-08-02,2,8,2022
760,2022-08-03,3,8,2022
761,2022-08-04,4,8,2022
762,2022-08-05,5,8,2022
763,2022-08-06,6,8,2022
764,2022-08-07,7,8,2022
765,2022-08-08,8,8,2022
766,2022-08-09,9,8,2022
767,2022-08-10,10,8,2022
768,2022-08-11,11,8,2022
769,2022-08-12,12,8,2022
770,2022-08-13,13,8,2022
771,2022-08-14,14,8,2022
772,2022-08-15,15,8,2022
773,2022-08-16,16,8,2022
774,2022-08-17,17,8,2022
775,2022-08-18,18,8,2022
776,2022-08-19,19,8,2022
777,2022-08-20,20,8,2022
