date,jour,mois,annee,ville,temp,is_rainy
2021-11-13,13,11,2021,Antananarivo,22.8,0
2021-11-14,14,11,2021,Antananarivo,22.6,0
2021-11-15,15,11,2021,Antananarivo,23.1,1
2021-11-16,16,11,2021,Antananarivo,22.3,0
2021-11-17,17,11,2021,Antananarivo,22.8,0
2021-11-18,18,11,2021,Antananarivo,20.8,0
2021-11-19,19,11,2021,Antananarivo,20.9,0
2021-11-20,20,11,2021,Antananarivo,21.8,0
2021-11-21,21,11,2021,Antananarivo,22.4,1
2021-11-22,22,11,2021,Antananarivo,22.9,0
2021-11-23,23,11,2021,Antananarivo,22.6,1
2021-11-24,24,11,2021,Antananarivo,22.5,1
2021-11-25,25,11,2021,Antananarivo,21.4,1
2021-11-26,26,11,2021,Antananarivo,20.2,1
2021-11-27,27,11,2021,Antananarivo,19.9,1
2021-11-28,28,11,2021,Antananarivo,19.3,1
2021-11-29,29,11,2021,Antananarivo,20.2,1
2021-11-30,30,11,2021,Antananarivo,20.0,1
